date,user_id,type,value
2019-04-17T16:43:52.820Z,76,sleep,3.96
2018-10-16T20:40:10.633Z,52,mood,2.88
2018-12-05T21:36:26.998Z,66,mood,3.09127116203
2019-06-29T21:23:24.089Z,32,sleep,2.2961070537599997
2019-05-08T12:05:55.219Z,16,mood,2.24
2018-09-30T15:58:46.493Z,21,mood,3.92
2018-12-04T12:39:47.882Z,65,mood,3.96
2018-12-25T14:14:39.685Z,25,mood,3.74339842796
2019-02-21T14:40:06.257Z,32,anticipatoryStress,4.0
2019-07-24T14:54:55.561Z,17,mood,1.37033367157
2018-11-18T16:22:27.558Z,52,anticipatoryStress,3.96
2018-11-01T14:18:51.393Z,60,sleep,1.50227832794
2019-06-02T19:37:02.407Z,65,sleep,1.8399999
2018-11-12T16:01:31.428Z,33,mood,0.48000002
2019-07-24T14:54:55.582Z,39,mood,3.0
2019-07-11T13:58:52.706Z,52,sleep,1.8399999
2018-09-22T19:01:34.580Z,75,ruminationStress,1.88521671295
2019-05-18T11:45:15.398Z,34,mood,4.0
2018-09-25T21:53:41.866Z,66,sleep,0.03999996
2019-02-22T19:20:57.923Z,17,sleep,3.08
2019-03-31T14:31:35.012Z,75,mood,0.03999996
2019-02-27T03:14:39.347Z,64,mood,2.90188574791
2019-07-02T13:12:31.986Z,33,sleep,1.9200001
2019-07-18T16:18:40.033Z,66,sleep,3.4897184371900005
2018-09-29T17:10:10.636Z,57,mood,1.10078501701
2019-04-10T17:54:55.829Z,24,mood,2.92
2019-01-09T21:05:01.663Z,33,mood,3.8
2019-07-19T13:31:13.168Z,54,mood,0.8707628250120001
2019-06-08T13:48:51.934Z,66,sleep,3.76
2018-11-13T13:44:36.351Z,33,ruminationStress,3.87784337997
2019-01-09T18:17:19.441Z,34,sleep,1.44
2019-07-12T18:28:13.372Z,21,mood,3.0
2018-10-15T04:28:38.913Z,19,mood,2.4790661335
2018-10-29T13:40:49.420Z,39,mood,2.7669355869300003
2019-06-21T17:34:49.920Z,24,sleep,1.03304505348
